# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: C:\repos\hvps\Code\Verilog\HVPSController2\pin_assignments_from_quartus_3.csv
# Generated on: Sat Feb 14 13:56:06 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
<<new node>>,,,,,,,,,,
ESP_TO_OUTPUT,Unknown,PIN_58,4,B4_N0,3.3-V LVCMOS,,,,,
U23_HIN,Unknown,PIN_144,8,B8_N0,3.3-V LVCMOS,,,,,
U24_HIN,Unknown,PIN_112,7,B7_N0,3.3-V LVCMOS,,,,,
U24_SD,Unknown,PIN_110,7,B7_N0,3.3-V LVCMOS,,,,,
U24_LIN,Unknown,PIN_104,6,B6_N0,3.3-V LVCMOS,,,,,
UNUSED,Unknown,PIN_100,6,B6_N0,3.3-V LVCMOS,,,,,
U23_LIN,Unknown,PIN_3,1,B1_N0,3.3-V LVCMOS,,,,,
U23_SD,Unknown,PIN_2,1,B1_N0,3.3-V LVCMOS,,,,,
clk,Input,PIN_91,6,B6_N0,3.3-V LVCMOS,,,,,
U20_INV_RD,Output,PIN_53,3,B3_N0,3.3-V LVCMOS,,,,,
U20_INV_EOC,Output,PIN_55,4,B4_N0,3.3-V LVCMOS,,,,,
U20_INV_CS,Output,,,,,,,,,
U20_INV_CONVST,Output,PIN_51,3,B3_N0,3.3-V LVCMOS,,,,,
U20_DB7,Output,PIN_121,7,B7_N0,3.3-V LVCMOS,,,,,
U20_DB6,Output,PIN_125,7,B7_N0,3.3-V LVCMOS,,,,,
U20_DB5,Output,PIN_127,7,B7_N0,3.3-V LVCMOS,,,,,
U20_DB4,Output,PIN_129,8,B8_N0,3.3-V LVCMOS,,,,,
U20_DB3,Output,PIN_142,8,B8_N0,3.3-V LVCMOS,,,,,
U20_DB2,Output,PIN_42,3,B3_N0,3.3-V LVCMOS,,,,,
U20_DB1,Output,PIN_44,3,B3_N0,3.3-V LVCMOS,,,,,
U20_DB0,Output,PIN_49,3,B3_N0,3.3-V LVCMOS,,,,,
U12_INV_RD,Output,PIN_111,7,B7_N0,3.3-V LVCMOS,,,,,
U12_INV_EOC,Output,PIN_106,6,B6_N0,3.3-V LVCMOS,,,,,
U12_INV_CS,Output,,,,,,,,,
U12_INV_CONVST,Output,PIN_113,7,B7_N0,3.3-V LVCMOS,,,,,
U12_DB7,Output,PIN_128,8,B8_N0,3.3-V LVCMOS,,,,,
U12_DB6,Output,PIN_135,8,B8_N0,3.3-V LVCMOS,,,,,
U12_DB5,Output,PIN_141,8,B8_N0,3.3-V LVCMOS,,,,,
U12_DB4,Output,PIN_143,8,B8_N0,3.3-V LVCMOS,,,,,
U12_DB3,Output,PIN_1,1,B1_N0,3.3-V LVCMOS,,,,,
U12_DB2,Output,PIN_126,7,B7_N0,3.3-V LVCMOS,,,,,
U12_DB1,Output,PIN_124,7,B7_N0,3.3-V LVCMOS,,,,,
U12_DB0,Output,PIN_120,7,B7_N0,3.3-V LVCMOS,,,,,
U5_INV_RD,Output,PIN_75,5,B5_N0,3.3-V LVCMOS,,,,,
U5_INV_EOC,Output,PIN_73,5,B5_N0,3.3-V LVCMOS,,,,,
U5_INV_CS,Output,,,,,,,,,
U5_INV_CONVST,Output,PIN_83,5,B5_N0,3.3-V LVCMOS,,,,,
U5_DB7,Output,PIN_59,4,B4_N0,3.3-V LVCMOS,,,,,
U5_DB6,Output,PIN_64,4,B4_N0,3.3-V LVCMOS,,,,,
U5_DB5,Output,PIN_68,4,B4_N0,3.3-V LVCMOS,,,,,
U5_DB4,Output,PIN_70,4,B4_N0,3.3-V LVCMOS,,,,,
U5_DB3,Output,PIN_72,4,B4_N0,3.3-V LVCMOS,,,,,
U5_DB2,Output,PIN_85,5,B5_N0,3.3-V LVCMOS,,,,,
U5_DB1,Output,PIN_84,5,B5_N0,3.3-V LVCMOS,,,,,
U5_DB0,Output,PIN_74,5,B5_N0,3.3-V LVCMOS,,,,,
OT5,Output,PIN_38,3,B3_N0,3.3-V LVCMOS,,,,,
OT4,Output,PIN_28,2,B2_N0,3.3-V LVCMOS,,,,,
OR6,Output,PIN_30,2,B2_N0,3.3-V LVCMOS,,,,,
OR5,Output,PIN_39,3,B3_N0,3.3-V LVCMOS,,,,,
OR4,Output,PIN_43,3,B3_N0,3.3-V LVCMOS,,,,,
INV_PD,Output,,,,,,,,,
ESP_STATE_TO_OUTPUT,Output,,,,,,,,,
ESP_OUT_VALUE,Output,PIN_69,4,B4_N0,3.3-V LVCMOS,,,,,
ESP_OUT_SHIFT,Output,PIN_60,4,B4_N0,,,,,,
ESP_IN_VALUE,Output,PIN_52,3,B3_N0,3.3-V LVCMOS,,,,,
ESP_IN_SHIFT,Output,PIN_50,3,B3_N0,3.3-V LVCMOS,,,,,
ESP_GO_LIVE,Output,PIN_54,4,B4_N0,3.3-V LVCMOS,,,,,
