PinNumber,Package,Bank,Verified Safe,Exposed On Development Board,In Use,Used By,For,Voltage
1,D4,B1,y,y,y,Fiber Optic High Speed Transmitter,,
2,E5,B1,y,y,y,Fiber Optic High Speed Receiver,,
3,F5,B1,y,y,y,Fiber Optic High Speed Transmitter,,
10,G2,B1,y,n,,,,
11,G1,B1,y,n,,,,
28,L6,B2,y,y,,,,
30,L2,B2,y,y,,,,
38,N3,B3,y,y,,,,
39,P3,B3,y,y,,,,
42,T2,B3,y,y,,,,
43,R4,B3,y,y,,,,
44,T4,B3,y,y,,,,
49,L8,B3,y,y,,,,
50,M8,B3,y,y,,,,
51,N8,B3,y,y,,,,
52,R8,B3,y,y,,,,
53,T8,B3,y,y,,,,
54,R9,B4,y,y,,,,
55,T9,B4,y,y,,,,
58,R10,B4,y,y,,,,
59,R11,B4,y,y,,,,
60,T11,B4,y,y,y,AD7822,!PD,3.3
64,P9,B4,,y,y,AD7822,DB3,3.3
68,T15,B4,y,y,y,AD7822,DB4,3.3
69,R14,B4,y,y,y,AD7822,!EDC,3.3
70,P14,B4,y,y,y,AD7822,DB5,3.3
71,L11,B4,y,y,y,AD7822,!RD,3.3
72,M11,B4,y,y,y,AD7822,DB6,3.3
73,N13,B5,y,y,y,AD7822,!CS,3.3
74,M12,B5,y,y,y,AD7822,DB7,3.3
75,L12,B5,y,y,y,AD7822,!CONVST,3.3
83,J11,B5,y,y,y,AD7822,DB0,3.3
84,K16,B5,y,y,y,AD7822,DB2,3.3
85,K15,B5,y,y,y,AD7822,DB1,3.3
100,F13,B6,,y,,,,
104,B16,B6,,y,,,,
106,C16,B6,,y,,,,
110,D12,B7,,y,,,,
111,B13,B7,,y,,,,
112,A14,B7,,y,,,,
113,B14,B7,,y,,,,
120,F10,B7,,y,,,,
121,F9,B7,,y,,,,
124,D9,B7,,y,,,,
125,E9,B7,,y,,,,
126,A9,B7,,y,,,,
127,B9,B7,,y,,,,
128,A8,B8,,y,,,,
129,B8,B8,,y,,,,
135,F6,B8,,y,,,,
141,B5,B8,,y,,,,
142,B3,B8,,y,y,Fiber Optic High Speed Receiver,,
143,C3,B8,,y,y,Fiber Optic High Speed Transmitter,,
144,D3,B8,,y,y,Fiber Optic High Speed Receiver,,
